idx | offset    | size_kb | sub# | kmd_ptr   | type      | hash16
 25 | 0x01C99C40 |     717 |  18  | 0x00000150 | CHARACTER   | ba47dc3a
 26 | 0x01D4D1F0 |     929 |  15  | 0x00000160 | PROP/WEAPON | c1822cd0
 27 | 0x01E35780 |     654 |  17  | 0x00000150 | CHARACTER   | ba47dc3a
 28 | 0x01ED9010 |    1163 |  21  | 0x00000150 | CHARACTER   | 5d58edaa
 29 | 0x01FFBE40 |     537 |  15  | 0x00000150 | CHARACTER   | ba47dc3a
 30 | 0x020825F0 |     827 |  17  | 0x00000150 | CHARACTER   | 9864c996
 31 | 0x02151450 |     852 |   2  | 0x00000150 | small-char  | ba47dc3a
 32 | 0x02226620 |     303 |   1  | 0x00000150 | small-char  | ba47dc3a
 33 | 0x02272320 |     646 |   6  | 0xFFFFFFFF | small-char  | 0c1cd610
 34 | 0x02313C90 |     643 |  15  | 0x00000150 | CHARACTER   | ba47dc3a
 35 | 0x023B48C0 |    1200 |  18  | 0x00000150 | CHARACTER   | 4ac1b098
 36 | 0x024E09E0 |    1075 |  18  | 0x00000150 | CHARACTER   | 6c8f3ba8
 37 | 0x025ED780 |    1139 |   6  | 0xFFFFFFFF | small-char  | e2635e41
 38 | 0x0270A600 |     442 |   6  | 0xFFFFFFFF | small-char  | 7e1b9839
 39 | 0x027790D0 |     755 |   4  | 0xFFFFFFFF | small-char  | ebff6ab7
 40 | 0x02835D10 |     562 |   6  | 0xFFFFFFFF | small-char  | 097769cb
 41 | 0x028C2690 |     420 |   4  | 0xFFFFFFFF | small-char  | 7ee8d923
 42 | 0x0292B6C0 |     461 |   4  | 0xFFFFFFFF | small-char  | 138145aa
 43 | 0x0299ED30 |     598 |   4  | 0xFFFFFFFF | small-char  | 5d2cc313
 44 | 0x02A34710 |     299 |   3  | 0xFFFFFFFF | small-char  | bbba0513
 45 | 0x02A7F420 |     573 |   5  | 0xFFFFFFFF | small-char  | 3ed5d56e
 46 | 0x02B0EA90 |     810 |   4  | 0xFFFFFFFF | small-char  | 29e3c258
 47 | 0x02BD95B0 |     246 |   1  | 0xFFFFFFFF | small-char  | 63084dc0
 48 | 0x02C17090 |     625 |   5  | 0xFFFFFFFF | small-char  | 49ae0b8d
 49 | 0x02CB3520 |     452 |   5  | 0xFFFFFFFF | small-char  | 8a2a5c7d
 50 | 0x02D24590 |     423 |   4  | 0xFFFFFFFF | PROP/WEAPON | 1d8884b2
 51 | 0x02D8E410 |     295 |   4  | 0xFFFFFFFF | small-char  | 255a68ea
 52 | 0x02DD8290 |     275 |   5  | 0xFFFFFFFF | small-char  | 55139006
 53 | 0x02E1D1B0 |     716 |   6  | 0x00000150 | small-char  | b3375c0f
 54 | 0x02ED0350 |     431 |   6  | 0xFFFFFFFF | small-char  | 9cc18b27
 55 | 0x02F3C290 |     431 |   6  | 0xFFFFFFFF | small-char  | 67b04d18
 56 | 0x02FA7F70 |     421 |   7  | 0xFFFFFFFF | small-char  | a5c2a8af
 57 | 0x03011560 |     421 |   4  | 0xFFFFFFFF | small-char  | bce45eb4
 58 | 0x0307AD20 |     273 |   3  | 0xFFFFFFFF | small-char  | 2fc6e54c
 59 | 0x030BF3D0 |     241 |   3  | 0xFFFFFFFF | small-char  | 4373e7e1
 60 | 0x030FBA10 |     277 |   3  | 0xFFFFFFFF | small-char  | aeb2f063
 61 | 0x03140F90 |     583 |   4  | 0xFFFFFFFF | small-char  | 6416909c
 62 | 0x031D2EE0 |     679 |   5  | 0xFFFFFFFF | small-char  | e9f96962
 63 | 0x0327CD30 |     476 |   4  | 0xFFFFFFFF | small-char  | 34785077
 64 | 0x032F3FA0 |     498 |   7  | 0xFFFFFFFF | small-char  | 8c423dad
 65 | 0x03370800 |     134 |   1  | 0xFFFFFFFF | small-char  | 63084dc0
 66 | 0x03392230 |     735 |  17  | 0x00000150 | CHARACTER   | 19664dcd
 67 | 0x0344A180 |     555 |  18  | 0x00000150 | CHARACTER   | ba47dc3a
 68 | 0x034D5040 |     662 |  16  | 0x00000150 | CHARACTER   | ba47dc3a
 69 | 0x0357AB40 |     481 |  13  | 0x00000150 | CHARACTER   | ba47dc3a
 70 | 0x035F3310 |     514 |   7  | 0x00000150 | small-char  | ba47dc3a
 71 | 0x03673B50 |     821 |  15  | 0x00000150 | CHARACTER   | 6392c890
 72 | 0x037410B0 |     591 |   6  | 0xFFFFFFFF | small-char  | 59bab788
 73 | 0x037D4F60 |     266 |   4  | 0xFFFFFFFF | small-char  | 6d4a5c87
 74 | 0x03817B00 |     511 |   9  | 0x00000150 | small-char  | ba47dc3a
 75 | 0x03897950 |      95 |   1  | 0x00000160 | PROP/WEAPON | c1822cd0
 76 | 0x038AF770 |      95 |   1  | 0x00000160 | PROP/WEAPON | c1822cd0
 77 | 0x038C7590 |      95 |   1  | 0x00000160 | PROP/WEAPON | c1822cd0
 78 | 0x038DF3B0 |      73 |   1  | 0xFFFFFFFF | PROP/WEAPON | 2780ec86
 79 | 0x038F1A10 |      95 |   2  | 0xFFFFFFFF | small-char  | 2780ec86
 80 | 0x03909970 |     359 |   4  | 0xFFFFFFFF | small-char  | 8f0f3a4b
 81 | 0x039637C0 |      81 |   0  | 0x00000150 | UI/STATIC   | ba47dc3a
 82 | 0x03977C50 |      75 |   0  | 0x00000150 | UI/STATIC   | ba47dc3a
 83 | 0x0398A920 |     123 |   1  | 0x00000150 | small-char  | ba47dc3a
 84 | 0x039A95E0 |    3023 |   0  | 0x00000150 | UI/STATIC   | ba47dc3a
 85 | 0x03C9D420 |     102 |   0  | 0x00000160 | UI/STATIC   | c1822cd0
 86 | 0x03CB6EF0 |      78 |   0  | 0x00000160 | UI/STATIC   | c1822cd0
 87 | 0x03CCA7C0 |     135 |   0  | 0x00000150 | UI/STATIC   | ba47dc3a
 88 | 0x03CEC580 |     168 |   0  | 0x00000150 | UI/STATIC   | ba47dc3a
