elf_va,pnach_addr_off,pnach_addr_size,chara_offset,true_size,slot_idx,heuristic_name
0x433508,20433508,2043350C,0x02ED0350,0x0006BF40,54,Prop/Weapon #22
0x433520,20433520,20433524,0x02F3C290,0x0006BCE0,55,Prop/Weapon #23
0x433538,20433538,2043353C,0x02FA7F70,0x000695F0,56,Prop/Weapon #24
0x433550,20433550,20433554,0x03011560,0x000697C0,57,Prop/Weapon #25
0x433568,20433568,2043356C,0x0307AD20,0x000446B0,58,Prop/Weapon #26
0x433580,20433580,20433584,0x030BF3D0,0x0003C640,59,Prop/Weapon #27
0x433598,20433598,2043359C,0x030FBA10,0x00045580,60,Prop/Weapon #28
0x4335B0,204335B0,204335B4,0x03140F90,0x0004EC50,61,Prop/Weapon #29
0x4335C8,204335C8,204335CC,0x031D2EE0,0x0006F7B0,62,Prop/Weapon #30
0x4335F8,204335F8,204335FC,0x0327CD30,0x00077270,63,Prop/Weapon #31
0x433610,20433610,20433614,0x032F3FA0,0x00078EE0,64,Prop/Weapon #32
0x433628,20433628,2043362C,0x03370800,0x00018000,65,Prop/Weapon #33
0x433640,20433640,20433644,0x03392230,0x000A7850,66,Boss/NPC variant #01
0x433658,20433658,2043365C,0x0344A180,0x0008AEC0,67,Boss/NPC variant #02
0x433670,20433670,20433674,0x034D5040,0x000A02C0,68,Boss/NPC variant #03
0x433688,20433688,2043368C,0x0357AB40,0x000787D0,69,Boss/NPC variant #04
0x4336A0,204336A0,204336A4,0x035F3310,0x00080840,70,Boss/NPC variant #05
0x4336B8,204336B8,204336BC,0x03673B50,0x000A5E40,71,Boss/NPC variant #06
0x4336D0,204336D0,204336D4,0x037410B0,0x00070930,72,Prop/Weapon #40
0x4336E8,204336E8,204336EC,0x037D4F60,0x00042BA0,73,Prop/Weapon #41
0x433700,20433700,20433704,0x03817B00,0x0007AD60,74,Prop/Weapon #42
0x433718,20433718,2043371C,0x03897950,0x00017E20,75,Prop/Weapon #43
0x433730,20433730,20433734,0x038AF770,0x00017E20,76,Prop/Weapon #44
0x433748,20433748,2043374C,0x038C7590,0x00017E20,77,Prop/Weapon #45
0x433760,20433760,20433764,0x038DF3B0,0x00012340,78,Prop/Weapon #46
0x433778,20433778,2043377C,0x038F1A10,0x00012BC0,79,Prop/Weapon #47
0x4337A8,204337A8,204337AC,0x03909970,0x00059E50,80,Prop/Weapon #48
0x4337C0,204337C0,204337C4,0x039637C0,0x00014490,81,UI/Icon #01
0x4337D8,204337D8,204337DC,0x03977C50,0x00012CD0,82,UI/Icon #02
0x4337F0,204337F0,204337F4,0x0398A920,0x00018DF0,83,UI/Icon #03
0x433808,20433808,2043380C,0x039A95E0,0x00013750,84,UI/Icon #04
0x433940,20433940,20433944,0x03C9D420,0x00016710,85,UI/Icon #05
0x433958,20433958,2043395C,0x03CB6EF0,0x000138D0,86,UI/Icon #06
0x433970,20433970,20433974,0x03CCA7C0,0x0001BFE0,87,UI/Icon #07
0x433988,20433988,2043398C,0x03CEC580,0x00016C80,88,UI/Icon #08
0x4339F0,204339F0,204339F4,0x00000000,0x000BC420,0,Rikimaru
0x433A50,20433A50,20433A54,0x005648D0,0x0010B870,4,Onikage
0x433AE0,20433AE0,20433AE4,0x00E8FC60,0x000DBEB0,10,Seiryu
0x433B28,20433B28,20433B2C,0x011FFD90,0x0007AB70,13,MP Character A
0x433B40,20433B40,20433B44,0x013A41E0,0x00081EC0,15,MP Character C
0x433B58,20433B58,20433B5C,0x014260A0,0x000B2920,16,MP Character D
0x433B70,20433B70,20433B74,0x0179F570,0x00085090,20,Guard (Standard)
0x433B88,20433B88,20433B8C,0x0186A310,0x000AD770,21,Samurai (Heavy)
0x433BB8,20433BB8,20433BBC,0x01C99C40,0x0008B5E0,25,Monk
0x433BE8,20433BE8,20433BEC,0x01E35780,0x000A3890,27,Civilian (Adult M)
